overall_accuracy,easy_accuracy,medium_accuracy,hard_accuracy,avg_time_taken,avg_quality_score,total_hints_used,hard_questions_attempted,label,claimed_experience_years,claimed_skill_count
0.4910151008611401,0.8584661280732764,0.965115383804839,0.3251788321053587,47.59398327035983,0.6265905337330033,2.979462143852193,2,Intermediate,1,2
0.89006763010002,0.997573406389146,0.892598332104049,0.7067382515901696,30.352464384004197,0.9908835456308864,0.2333180210733012,4,Expert,10,4
0.6387557445983875,1.0,0.4970134462258588,0.1368270526014267,36.42397003668796,0.6480871029475115,0.93328697468985,2,Intermediate,8,4
0.621685219739634,0.8749789798889746,0.7765994746814697,0.3932733433423281,36.07159285443295,0.75516919839203,0.6857223760545882,1,Advanced,5,4
0.3636497784183372,0.7105254796380076,0.180616642551313,0.1297243907598723,30.094531843402752,0.3441889263837568,4.383959584181779,2,Beginner,8,2
0.905326613524576,1.0,0.803141975522244,0.6464087554488622,12.246504832296472,0.8633742249023699,0.0,2,Expert,4,2
0.6399348418487877,0.915154062064396,0.6432401969681457,0.1944126121171809,37.37067539033004,0.3222223129201523,0.0,3,Intermediate,8,4
0.8679337809719206,0.977968503365368,0.623930960781588,0.3016153347325656,16.664041169301036,0.617419809968066,0.4367971777252301,2,Advanced,1,3
0.2507953943699726,0.4826375499057831,0.0,0.0,31.272658262311108,0.2698343018221754,4.669448837490395,4,Beginner,6,3
0.837121206762189,0.7442613255336721,0.2653278250150335,0.392988519693085,25.07829073528312,0.4968940453840649,0.9140817895484152,2,Intermediate,2,2
0.89950301666636,0.98373444194772,0.9797341043127146,0.7549189744534497,8.674709280754298,1.0,0.0948137671327036,1,Expert,9,2
0.7571294613497437,0.891412082405836,0.7279993670346657,0.4604663926548652,27.523458313414476,0.6626000686200726,0.0,4,Advanced,10,2
0.5363975202592232,0.8449371886943009,0.6559798769346742,0.1887846617652908,21.317517720186103,0.4787895993761933,1.5675554840808246,1,Intermediate,9,3
0.9054835521967188,0.9950926779393304,0.8963083526247285,0.7160602690983324,19.855500069028704,0.9128652471359564,0.1595077501956502,3,Expert,5,4
